nohup: ignoring input
CIFAR100 found locally: /remote-home/elison/FSEML-rewrite-2026/data/cifar100
CIFAR100 found locally: /remote-home/elison/FSEML-rewrite-2026/data/cifar100
{"epoch": 53, "learning_rate": 0.08422735529643446, "train_accuracy": 0.6052, "train_loss": 2.0218362516403197, "validation_accuracy": 0.5208, "validation_loss": 1.824196370124817}
{"epoch": 54, "learning_rate": 0.08365062567548869, "train_accuracy": 0.60514, "train_loss": 2.023132981338501, "validation_accuracy": 0.5456, "validation_loss": 1.7559976886749267}
{"epoch": 55, "learning_rate": 0.08306559326618261, "train_accuracy": 0.61098, "train_loss": 2.0076393599700926, "validation_accuracy": 0.5157, "validation_loss": 1.900870027923584}
{"epoch": 56, "learning_rate": 0.0824724024165092, "train_accuracy": 0.60856, "train_loss": 2.011610643386841, "validation_accuracy": 0.518, "validation_loss": 1.8392877578735352}
{"epoch": 57, "learning_rate": 0.0818711994874345, "train_accuracy": 0.61186, "train_loss": 2.0048643197631835, "validation_accuracy": 0.5613, "validation_loss": 1.7020037151336669}
{"epoch": 58, "learning_rate": 0.08126213281678528, "train_accuracy": 0.61074, "train_loss": 1.9966825144958495, "validation_accuracy": 0.5402, "validation_loss": 1.7663819101333618}
{"epoch": 59, "learning_rate": 0.08064535268264884, "train_accuracy": 0.61154, "train_loss": 1.9950603092956543, "validation_accuracy": 0.5449, "validation_loss": 1.7227220462799073}
{"epoch": 60, "learning_rate": 0.08002101126629421, "train_accuracy": 0.61716, "train_loss": 1.9852106042480469, "validation_accuracy": 0.5214, "validation_loss": 1.8646082342147827}
{"epoch": 61, "learning_rate": 0.07938926261462367, "train_accuracy": 0.61484, "train_loss": 1.9838716849517821, "validation_accuracy": 0.5103, "validation_loss": 1.917199528503418}
{"epoch": 62, "learning_rate": 0.07875026260216395, "train_accuracy": 0.6172, "train_loss": 1.9816713412094116, "validation_accuracy": 0.5308, "validation_loss": 1.797393793296814}
{"epoch": 63, "learning_rate": 0.07810416889260656, "train_accuracy": 0.62062, "train_loss": 1.968415101852417, "validation_accuracy": 0.5387, "validation_loss": 1.7382921005249024}
{"epoch": 64, "learning_rate": 0.07745114089990661, "train_accuracy": 0.62248, "train_loss": 1.9632576746749877, "validation_accuracy": 0.5396, "validation_loss": 1.7821299686431884}
{"epoch": 65, "learning_rate": 0.07679133974894985, "train_accuracy": 0.62238, "train_loss": 1.962280107269287, "validation_accuracy": 0.5591, "validation_loss": 1.6866141843795777}
{"epoch": 66, "learning_rate": 0.07612492823579746, "train_accuracy": 0.62382, "train_loss": 1.9597990655517579, "validation_accuracy": 0.522, "validation_loss": 1.8410256607055664}
{"epoch": 67, "learning_rate": 0.07545207078751859, "train_accuracy": 0.62576, "train_loss": 1.9520744966125487, "validation_accuracy": 0.5496, "validation_loss": 1.7355251657485962}
{"epoch": 68, "learning_rate": 0.0747729334216204, "train_accuracy": 0.62912, "train_loss": 1.947580075302124, "validation_accuracy": 0.5087, "validation_loss": 1.9340629547119141}
{"epoch": 69, "learning_rate": 0.07408768370508578, "train_accuracy": 0.63106, "train_loss": 1.9395652701568604, "validation_accuracy": 0.5209, "validation_loss": 1.8760802207946778}
{"epoch": 70, "learning_rate": 0.0733964907130287, "train_accuracy": 0.62984, "train_loss": 1.9324876802825928, "validation_accuracy": 0.5481, "validation_loss": 1.7403992612838746}
{"epoch": 71, "learning_rate": 0.07269952498697736, "train_accuracy": 0.6312, "train_loss": 1.938089841003418, "validation_accuracy": 0.566, "validation_loss": 1.6332376914978026}
{"epoch": 72, "learning_rate": 0.07199695849279578, "train_accuracy": 0.6351, "train_loss": 1.9236171505737305, "validation_accuracy": 0.5391, "validation_loss": 1.778158417892456}
{"epoch": 73, "learning_rate": 0.07128896457825366, "train_accuracy": 0.63238, "train_loss": 1.9208120977020264, "validation_accuracy": 0.5542, "validation_loss": 1.6876407554626465}
{"epoch": 74, "learning_rate": 0.07057571793025548, "train_accuracy": 0.63526, "train_loss": 1.9175010629272462, "validation_accuracy": 0.5621, "validation_loss": 1.6614344341278076}
{"epoch": 75, "learning_rate": 0.06985739453173906, "train_accuracy": 0.64126, "train_loss": 1.9032711544799805, "validation_accuracy": 0.5851, "validation_loss": 1.5504279094696045}
{"epoch": 76, "learning_rate": 0.06913417161825453, "train_accuracy": 0.64336, "train_loss": 1.8974024048614502, "validation_accuracy": 0.5262, "validation_loss": 1.856811441230774}
{"epoch": 77, "learning_rate": 0.06840622763423394, "train_accuracy": 0.6458, "train_loss": 1.8898101458740235, "validation_accuracy": 0.5524, "validation_loss": 1.7307504322052}
{"epoch": 78, "learning_rate": 0.0676737421889629, "train_accuracy": 0.64488, "train_loss": 1.8881067650604249, "validation_accuracy": 0.5636, "validation_loss": 1.6370749298095704}
